,0,1
0,Automotive,Auto ADAS
1,Automotive,Other Auto & Aftermarket
2,Automotive,Other Auto & Aftermarket
3,Automotive,Other Auto & Aftermarket
4,Automotive,Other Auto & Aftermarket
5,Automotive,Auto Infotainment
6,Automotive,Other Auto & Aftermarket
7,Automotive,Auto Powertrain
8,Computer Platforms,Data Center Servers
9,Computer Platforms,Desktop PCs
10,Computer Peripherals & Storage,Flash Cards/Drives
11,Computer Peripherals & Storage,HDD
12,Computer Platforms,Notebook PCs
13,Computer Platforms,Other Computer Products
14,Computer Peripherals & Storage,Other Storage
15,Computer Peripherals & Storage,Other Peripherals
16,Computer Peripherals & Storage,Smart Cards
17,Computer Peripherals & Storage,Flash Cards/Drives
18,Computer Platforms,Tablet PCs
19,Computer Peripherals & Storage,Flash Cards/Drives
20,Consumer,Other Consumer
21,Consumer,TV
22,Consumer,Appliance
23,Consumer,TV
24,Consumer,Audio
25,Consumer,Other Consumer
26,Consumer,STB
27,Consumer,Connected Consumer
28,Consumer,Other Consumer
29,Consumer,Other Consumer
30,Consumer,Video Games
31,Industrial,Other Industrial
32,Industrial,Other Industrial
33,Industrial,Other Industrial
34,Industrial,Medical
35,Industrial,Military/Aerospace
36,Industrial,Other Industrial
37,Industrial,Power & Energy
38,Industrial,Other Industrial
39,Industrial,Test & Measurement
40,Wired Communications,Other Wired
41,Wired Communications,Carrier
42,Wired Communications,Carrier
43,Wired Communications,Carrier
44,Wired Communications,Carrier
45,Wired Communications,Carrier
46,Wired Communications,DC Network & Threat Mitigation
47,Wired Communications,Enterprise/SOHO
48,Wired Communications,Enterprise/SOHO
49,Wired Communications,Carrier
50,Wired Communications,Carrier
51,Wired Communications,Enterprise/SOHO
52,Wired Communications,Other Wired
53,Wired Communications,Other Wired
54,Wired Communications,DC Network & Threat Mitigation
55,Wireless Communications,Handset
56,Wireless Communications,Handset
57,Wireless Communications,Handset
58,Wireless Communications,Other Wireless
59,Wireless Communications,Media Tablets
60,Wireless Communications,Handset
61,Wireless Communications,Infrastructure
62,Wireless Communications,Handset
63,Wireless Communications,Other Wireless
64,Wireless Communications,Infrastructure
